,,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,wins,draws,loses,pts,npxGD,ppda_coef,oppda_coef
Aston Villa,0,a,1.13718,1.35036,0.376011,1.35036,6,4,2,3,1.1959,l,0,0,1,0,-0.974349,6.5,14.428571428571429
Aston Villa,1,h,1.18426,0.63163,0.423091,0.63163,5,4,2,0,1.9441,w,1,0,0,3,-0.20853900000000003,14.428571428571429,8.823529411764707
Aston Villa,2,h,0.431464,1.13312,0.431464,1.13312,2,8,1,1,0.6785,d,0,1,0,1,-0.7016559999999998,13.2,8.291666666666666
Aston Villa,3,a,1.17349,1.22153,1.17349,1.22153,6,3,0,3,1.3221,l,0,0,1,0,-0.04804000000000008,9.870967741935484,9.894736842105264
Aston Villa,4,h,0.777716,0.755035,0.777716,0.755035,5,2,3,0,1.3357999999999999,w,1,0,0,3,0.02268099999999995,8.222222222222221,11.882352941176471
Aston Villa,5,a,1.57249,1.9251,1.57249,1.16393,6,5,1,0,1.1095,w,1,0,0,3,0.40856000000000003,9.409090909090908,6.277777777777778
Aston Villa,6,a,1.07395,1.78187,1.07395,1.78187,11,11,1,2,0.8379,l,0,0,1,0,-0.7079200000000001,7.2727272727272725,7.85
Aston Villa,7,h,1.21276,2.19633,1.21276,2.19633,7,10,2,3,0.6525,l,0,0,1,0,-0.98357,12.6875,9.115384615384615
Aston Villa,8,a,1.41088,3.4984,1.41088,2.62648,7,14,1,3,0.2518,l,0,0,1,0,-1.2156,13.25,9.73913043478261
Aston Villa,9,h,0.687551,2.66391,0.687551,2.66391,3,4,1,4,0.153,l,0,0,1,0,-1.976359,22.75,6.869565217391305
Aston Villa,10,a,0.536077,0.89818,0.536077,0.89818,13,8,0,1,0.9174,l,0,0,1,0,-0.36210299999999995,10.652173913043478,5.458333333333333
Aston Villa,11,h,1.06946,0.582787,1.06946,0.582787,6,4,2,0,1.7925,w,1,0,0,3,0.486673,17.818181818181817,7.590909090909091
Aston Villa,12,a,0.454305,0.962129,0.454305,0.962129,6,5,2,1,0.7950999999999999,w,1,0,0,3,-0.507824,26.307692307692307,9.05
Aston Villa,13,h,0.772083,1.01897,0.772083,1.01897,4,9,1,2,1.1260999999999999,l,0,0,1,0,-0.24688699999999997,15.1,8.727272727272727
Aston Villa,14,h,1.84818,0.982614,1.84818,0.982614,7,12,2,1,2.0334,w,1,0,0,3,0.865566,13.5,4.076923076923077
Aston Villa,15,a,0.140573,2.71181,0.140573,1.95064,4,15,0,1,0.0507,l,0,0,1,0,-1.8100669999999999,24.727272727272727,5.233333333333333
Aston Villa,16,a,1.96261,0.502647,1.96261,0.502647,14,5,2,0,2.5811,w,1,0,0,3,1.4599630000000001,14.15,8.772727272727273
Aston Villa,17,h,0.474029,2.8285,0.474029,1.30616,6,14,1,3,0.0974,l,0,0,1,0,-0.832131,23.0,9.233333333333333
Aston Villa,18,a,1.13821,0.501329,1.13821,0.501329,6,4,1,2,1.9134000000000002,l,0,0,1,0,0.6368809999999999,12.941176470588236,8.1
Aston Villa,19,h,1.82784,1.35378,1.82784,1.35378,12,4,2,2,1.7497,d,0,1,0,1,0.4740599999999999,14.368421052631579,10.655172413793103
Aston Villa,20,a,0.860245,1.2384,0.860245,1.2384,5,1,1,0,1.0054,w,1,0,0,3,-0.3781549999999999,4.875,6.620689655172414
Aston Villa,21,h,1.5013,2.52914,1.5013,2.52914,2,8,3,3,0.6474,d,0,1,0,1,-1.0278399999999999,13.857142857142858,9.866666666666667
Aston Villa,22,a,0.455206,0.527571,0.455206,0.527571,5,2,0,1,1.192,l,0,0,1,0,-0.07236500000000001,3.9615384615384617,6.757575757575758
Aston Villa,23,h,1.0267,1.82051,1.0267,1.82051,18,4,0,1,0.715,l,0,0,1,0,-0.7938100000000001,9.0,21.857142857142858
Aston Villa,24,a,1.3027,0.627107,1.3027,0.627107,4,5,2,0,2.0098,w,1,0,0,3,0.675593,16.7,6.28
Aston Villa,25,h,2.85379,1.32947,2.85379,1.32947,12,4,4,0,2.3496,w,1,0,0,3,1.5243200000000001,16.88888888888889,8.227272727272727
Aston Villa,26,a,1.2729,0.194028,1.2729,0.194028,8,1,3,0,2.2945,w,1,0,0,3,1.0788719999999998,11.85,6.542857142857143
Aston Villa,27,a,1.05391,1.58468,1.05391,1.58468,7,9,1,2,0.8996999999999999,l,0,0,1,0,-0.5307700000000002,14.647058823529411,16.25
Aston Villa,28,h,0.309375,1.14522,0.309375,1.14522,3,11,0,1,0.5175,l,0,0,1,0,-0.835845,21.571428571428573,13.666666666666666
Everton,0,h,2.38863,0.580601,2.38863,0.580601,4,6,3,1,2.6311,w,1,0,0,3,1.8080289999999999,6.869565217391305,5.592592592592593
Everton,1,a,1.85713,0.966093,1.09596,0.966093,6,4,2,2,2.1241000000000003,d,0,1,0,1,0.12986700000000007,17.0,5.428571428571429
Everton,2,a,1.54868,0.701622,0.787544,0.701622,3,9,2,0,2.1092999999999997,w,1,0,0,3,0.08592200000000005,14.25925925925926,7.0
Everton,3,h,1.80386,1.82061,1.80386,1.82061,7,4,3,1,1.3254000000000001,w,1,0,0,3,-0.016750000000000043,11.9375,10.85
Everton,4,a,0.755035,0.777716,0.755035,0.777716,2,5,0,3,1.2992,l,0,0,1,0,-0.02268099999999995,11.882352941176471,8.222222222222221
